,casual,count,datetime,registered
0,2,11,2011-01-20 00:00:00,10
1,1,4,2011-01-20 01:00:00,4
2,2,5,2011-01-20 02:00:00,2
3,1,4,2011-01-20 03:00:00,1
4,1,3,2011-01-20 04:00:00,1
5,0,5,2011-01-20 05:00:00,5
6,1,35,2011-01-20 06:00:00,33
7,4,105,2011-01-20 07:00:00,100
8,13,221,2011-01-20 08:00:00,212
9,6,124,2011-01-20 09:00:00,117
10,9,64,2011-01-20 10:00:00,51
11,12,64,2011-01-20 11:00:00,51
12,11,79,2011-01-20 12:00:00,65
13,11,80,2011-01-20 13:00:00,67
14,13,83,2011-01-20 14:00:00,68
15,13,85,2011-01-20 15:00:00,67
16,12,91,2011-01-20 16:00:00,86
17,12,208,2011-01-20 17:00:00,196
18,5,166,2011-01-20 18:00:00,164
19,3,103,2011-01-20 19:00:00,100
20,2,72,2011-01-20 20:00:00,69
21,1,48,2011-01-20 21:00:00,47
22,1,44,2011-01-20 22:00:00,43
23,1,24,2011-01-20 23:00:00,21
24,2,9,2011-01-21 00:00:00,8
25,0,4,2011-01-21 01:00:00,3
26,0,3,2011-01-21 02:00:00,2
27,0,2,2011-01-21 03:00:00,1
28,0,1,2011-01-21 04:00:00,1
29,0,2,2011-01-21 05:00:00,2
30,1,35,2011-01-21 06:00:00,33
31,4,104,2011-01-21 07:00:00,98
32,6,215,2011-01-21 08:00:00,209
33,5,120,2011-01-21 09:00:00,114
34,6,59,2011-01-21 10:00:00,49
35,7,61,2011-01-21 11:00:00,48
36,5,64,2011-01-21 12:00:00,57
37,3,62,2011-01-21 13:00:00,61
38,3,59,2011-01-21 14:00:00,57
39,3,59,2011-01-21 15:00:00,57
40,3,78,2011-01-21 16:00:00,74
41,3,157,2011-01-21 17:00:00,149
42,3,157,2011-01-21 18:00:00,153
43,2,107,2011-01-21 19:00:00,108
44,3,76,2011-01-21 20:00:00,71
45,2,54,2011-01-21 21:00:00,48
46,2,30,2011-01-21 22:00:00,30
